Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
51,0.5112,0.5175,0.5661,0.4766,0.7462,0.0,0.7945,0.7462,985,0,6,2293,480,4586,960,6,22.861855,23.557549
52,0.5088,0.5154,0.5479,0.4865,0.735,0.0,0.7732,0.735,985,0,5,1990,399,3980,798,5,22.74929,23.98658
53,0.5087,0.5193,0.5774,0.4718,0.8518,0.0,0.9005,0.8518,985,0,14,5484,1119,10968,2238,14,23.122684,24.138558
54,0.513,0.5223,0.5742,0.4791,0.7706,0.0,0.8264,0.7706,985,0,7,2687,552,5374,1104,7,22.780427,23.677445
55,0.5136,0.5217,0.5823,0.4726,0.7797,0.0,0.8248,0.7797,985,0,3,1124,240,2248,480,3,22.784829,24.330137
56,0.5116,0.5148,0.5613,0.4755,0.8396,0.0,0.8878,0.8396,985,0,7,2778,572,5556,1144,7,22.834409,23.882169
57,0.5142,0.5238,0.5765,0.4799,0.8061,0.0,0.8512,0.8061,985,0,9,3502,707,7004,1414,9,22.955135,23.986695
58,0.5138,0.5696,0.7459,0.4606,0.7452,0.0,0.7707,0.7452,985,0,7,2712,550,5424,1100,7,22.807073,23.824776
59,0.5118,0.5223,0.5984,0.4634,0.8071,0.0,0.8424,0.8071,985,0,7,2595,548,5190,1096,7,22.785827,24.172975
60,0.5201,0.5288,0.5765,0.4884,0.7919,0.0,0.855,0.7919,985,0,5,1817,374,3634,748,5,22.696224,23.816284
61,0.5178,0.5258,0.5695,0.4882,0.7107,0.0,0.7382,0.7107,985,0,5,1912,388,3824,776,5,22.778261,24.161439
62,0.5153,0.5196,0.5603,0.4845,0.8173,0.0,0.8689,0.8173,985,0,10,3955,800,7910,1600,10,23.016094,24.73118
63,0.5196,0.5207,0.5666,0.4816,0.8213,0.0,0.8773,0.8213,985,0,7,2659,560,5318,1120,7,22.890912,24.262461
64,0.5122,0.5223,0.5826,0.4733,0.8528,0.0,0.9138,0.8528,985,0,6,2224,464,4448,928,6,23.112204,24.30126
65,0.5202,0.5269,0.5698,0.49,0.6954,0.0,0.7307,0.6954,985,0,6,2227,480,4454,960,6,23.091604,24.219428
66,0.515,0.5237,0.5789,0.478,0.8294,0.0,0.8758,0.8294,985,0,7,2555,552,5110,1104,7,22.990173,24.345023
67,0.5187,0.5281,0.5831,0.4826,0.7249,0.0,0.7537,0.7249,985,0,6,2373,473,4746,946,6,23.019837,24.734157
68,0.5136,0.5207,0.5701,0.4792,0.8274,0.0,0.8687,0.8274,985,0,5,1927,391,3854,782,5,22.841738,24.034197
69,0.5228,0.5273,0.5636,0.4954,0.5766,0.0,0.5894,0.5766,985,0,6,2122,469,4244,938,6,23.046786,24.13102
68,0.5179,0.5300,0.5504,0.4824,0.8766,0.0,1.0000,0.9428,985,0,14,5484,1119,10968,2238,14,23.1924,24.3158
69,0.5191,0.5207,0.5019,0.4745,0.8415,0.0,0.9303,0.7765,985,0,7,2687,552,5374,1104,7,23.0043,24.6258
70,0.5175,0.5233,0.6049,0.4810,0.7660,0.0,0.6596,0.7732,985,0,6,2259,465,4518,930,6,23.0716,24.7223
