Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
68,0.4834,0.5092,0.5824,0.4524,0.0409,0.0,0.0517,0.0409,684,0,6,2314,438,4628,876,6,26.12973,27.217253
69,0.4836,0.5076,0.5809,0.4508,0.0482,0.0,0.0611,0.0482,684,0,6,2434,448,4868,896,6,26.134727,26.996214
70,0.4832,0.5098,0.5901,0.4487,0.0468,0.0,0.054,0.0468,684,0,7,2666,517,5332,1034,7,26.165289,27.232689
71,0.4829,0.5105,0.5907,0.4494,0.0497,0.0,0.0606,0.0497,684,0,3,1097,222,2194,444,3,26.135401,26.846836
72,0.4835,0.5114,0.5823,0.4558,0.057,0.0,0.0621,0.057,684,0,7,2698,506,5396,1012,7,26.148829,27.461317
73,0.4825,0.509,0.594,0.4452,0.057,0.0,0.054,0.057,684,0,5,1918,379,3836,758,5,26.20436,27.158658
74,0.4834,0.5102,0.6001,0.4438,0.0409,0.0,0.0464,0.0409,684,0,6,2524,447,5048,894,6,26.337563,27.087078
75,0.4837,0.5107,0.5857,0.4528,0.0453,0.0,0.0572,0.0453,684,0,6,2232,449,4464,898,6,26.31424,27.060862
76,0.4842,0.5079,0.5771,0.4536,0.0482,0.0,0.0559,0.0482,684,0,3,1169,224,2338,448,3,26.281216,27.056548
77,0.483,0.5105,0.5781,0.4571,0.0365,0.0,0.0481,0.0365,684,0,9,3732,692,7464,1384,9,26.300534,27.308341
78,0.4843,0.5128,0.5897,0.4536,0.0453,0.0,0.048,0.0453,684,0,4,1611,294,3222,588,4,26.417,27.346746
79,0.4841,0.511,0.5825,0.4551,0.0365,0.0,0.0479,0.0365,684,0,6,2500,438,5000,876,6,26.326772,27.971958
80,0.484,0.5089,0.5943,0.445,0.0409,0.0,0.0514,0.0409,684,0,7,2774,520,5548,1040,7,26.298806,27.492835
81,0.4848,0.508,0.5735,0.4559,0.0439,0.0,0.0503,0.0439,684,0,7,2707,520,5414,1040,7,26.381185,27.589508
82,0.4825,0.5114,0.5873,0.453,0.0585,0.0,0.0658,0.0585,684,0,7,2829,518,5658,1036,7,26.370551,27.538541
83,0.483,0.5111,0.593,0.4491,0.0556,0.0,0.0647,0.0556,684,0,6,2471,434,4942,868,6,26.548832,27.566719
84,0.4836,0.5091,0.5803,0.4535,0.038,0.0,0.0473,0.038,684,0,3,1221,226,2442,452,3,26.373951,27.257562
85,0.4816,0.509,0.5739,0.4572,0.0468,0.0,0.0486,0.0468,684,0,7,2662,515,5324,1030,7,26.532528,27.172815
86,0.4833,0.5092,0.5775,0.4553,0.0556,0.0,0.069,0.0556,684,0,7,3026,529,6052,1058,7,26.660259,28.283892
87,0.4832,0.5087,0.5676,0.4609,0.0629,0.0,0.0669,0.0629,684,0,7,3029,515,6058,1030,7,26.567178,27.348533
88,0.4832,0.5092,0.5896,0.4481,0.0556,0.0,0.0598,0.0556,684,0,8,3547,618,7094,1236,8,26.58279,27.905354
89,0.4831,0.5092,0.5828,0.4522,0.0482,0.0,0.0522,0.0482,684,0,5,1976,366,3952,732,5,26.469697,27.429452
90,0.4849,0.5094,0.5741,0.4578,0.0614,0.0,0.062,0.0614,684,0,7,2660,507,5320,1014,7,26.566213,27.202829
91,0.4845,0.5099,0.5766,0.457,0.0556,0.0,0.0632,0.0556,684,0,4,1633,289,3266,578,4,26.653211,27.52506
92,0.4839,0.5092,0.5766,0.456,0.0599,0.0,0.0659,0.0599,684,0,3,1166,219,2332,438,3,26.669388,27.546719
93,0.4832,0.5085,0.5768,0.4547,0.0424,0.0,0.0463,0.0424,684,0,2,789,145,1578,290,2,26.666609,27.687886
94,0.4839,0.5116,0.5998,0.4459,0.0599,0.0,0.0638,0.0599,684,0,8,3195,583,6390,1166,8,26.568103,27.45562
95,0.4822,0.5092,0.573,0.4582,0.0614,0.0,0.0652,0.0614,684,0,6,2173,424,4346,848,6,26.629503,27.632214
96,0.4834,0.5114,0.5795,0.4576,0.0526,0.0,0.0609,0.0526,684,0,5,2010,362,4020,724,5,26.573062,27.66881
97,0.4832,0.5109,0.5907,0.4501,0.0409,0.0,0.0498,0.0409,684,0,3,1220,226,2440,452,3,26.605985,27.450803
98,0.4835,0.5126,0.5878,0.4545,0.0658,0.0,0.0723,0.0658,684,0,9,3600,662,7200,1324,9,26.765627,27.808717
99,0.4825,0.5097,0.5785,0.4556,0.0599,0.0,0.0741,0.0599,684,0,5,1864,361,3728,722,5,26.7595,27.647981
100,0.4818,0.5073,0.5827,0.4492,0.0702,0.0,0.0853,0.0702,684,0,11,4393,809,8786,1618,11,26.715145,27.42171
