Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.5529,0.0091,0.0046,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.9819,0.895,1.0,0.81,0.0,0.0,0.0,0,0,0,0,0,0,16.014738,16.02462
2,0.995,0.9982,0.9964,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2.373933,2.383112
3,0.995,0.997,0.994,1.0,0.0,0.0,0.0,26,0,1,99,56,1,2.204568,8.127588
4,0.995,0.9989,0.9978,1.0,0.6923,0.0,0.6923,26,0,1,85,49,1,2.038691,7.058639
5,0.995,0.9989,0.9977,1.0,0.5385,0.0,0.5385,26,0,1,94,54,1,1.990824,6.098484
6,0.995,0.9985,0.997,1.0,0.8462,0.0,0.8462,26,0,1,101,54,1,1.915651,5.310478
7,0.995,0.9985,0.9971,1.0,0.9615,0.0,0.9615,26,0,2,197,105,2,2.617553,4.99833
8,0.995,0.9989,0.9979,1.0,1.0,0.0,1.0,26,0,2,194,103,2,2.356573,3.817871
9,0.995,0.9986,0.9971,1.0,0.9615,0.0,0.9615,26,0,1,92,50,1,1.812342,3.055127
10,0.995,0.9989,0.9979,1.0,1.0,0.0,1.0,26,0,1,99,55,1,1.637156,2.607851
11,0.995,0.9983,0.9967,1.0,0.9615,0.0,0.9615,26,0,2,200,107,2,1.602456,2.64037
12,0.995,0.9988,0.9977,1.0,0.9615,0.0,0.9615,26,0,0,0,0,0,1.346491,1.424043
13,0.995,0.9989,0.9979,1.0,1.0,0.0,1.0,26,0,3,287,153,3,1.61379,2.224295
14,0.995,0.9988,0.9976,1.0,1.0,0.0,1.0,26,0,1,101,55,1,1.258469,1.548556
15,0.995,0.9986,0.9972,1.0,1.0,0.0,1.0,26,0,1,78,47,1,1.422654,1.978286
16,0.995,0.9986,0.9972,1.0,1.0,0.0,1.0,26,0,2,192,106,2,1.398637,1.657464
17,0.995,0.999,0.9979,1.0,1.0,0.0,1.0,26,0,2,172,104,2,1.314971,1.54248
18,0.995,0.9979,0.9958,1.0,0.8846,0.0,0.8846,26,0,2,179,99,2,1.265191,1.325825
19,0.995,0.9988,0.9976,1.0,1.0,0.0,1.0,26,0,2,175,101,2,1.260205,1.51142
20,0.995,0.9983,0.9966,1.0,0.9615,0.0,0.9615,26,0,2,186,109,2,1.272595,1.403054
