Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed
0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0,0,0
1,0.0693,0.1047,0.7751,0.0562,0.0,0.0,0.0,0,0,11,5132
2,0.2246,0.3045,0.3265,0.2852,0.493,0.0,0.493,71,0,16,7471
3,0.3026,0.3509,0.3966,0.3146,0.41,0.0,0.41,100,0,13,6053
4,0.3474,0.372,0.4207,0.3334,0.5776,0.0,0.5776,116,0,15,7152
5,0.3776,0.3877,0.4603,0.3348,0.4672,0.0,0.4672,137,0,13,5955
6,0.4023,0.4062,0.4669,0.3595,0.4932,0.0,0.4932,146,0,12,5581
7,0.4178,0.4146,0.4845,0.3623,0.5461,0.0,0.5461,152,0,13,5847
8,0.4251,0.4193,0.4766,0.3743,0.6987,0.0,0.6987,156,0,15,7120
9,0.4344,0.4288,0.4914,0.3804,0.5776,0.0,0.5776,161,0,13,6654
10,0.4549,0.4459,0.5271,0.3864,0.5955,0.0,0.5955,178,0,12,5334
11,0.4608,0.4451,0.4818,0.4135,0.5922,0.0,0.5922,179,0,12,5934
12,0.4689,0.46,0.5483,0.3962,0.6364,0.0,0.6364,187,0,13,6153
13,0.4857,0.4934,0.5368,0.4565,0.6111,0.0,0.6111,180,0,10,4452
14,0.4972,0.507,0.5431,0.4754,0.6758,0.0,0.6758,182,0,12,5700
15,0.5154,0.5237,0.5721,0.4829,0.6436,0.0,0.6436,202,0,12,5819
16,0.5287,0.529,0.5548,0.5055,0.6789,0.0,0.6789,190,0,13,6079
17,0.5371,0.5408,0.5703,0.5143,0.7344,0.0,0.7344,192,0,16,7828
18,0.5546,0.5562,0.5919,0.5246,0.7158,0.0,0.7158,190,0,13,6492
19,0.5651,0.5633,0.6006,0.5304,0.7273,0.0,0.7273,187,0,13,6164
20,0.5719,0.5738,0.6201,0.5339,0.7811,0.0,0.7811,201,0,16,7341
21,0.5974,0.6036,0.6804,0.5424,0.7234,0.0,0.7234,188,0,10,4977
22,0.5966,0.6003,0.6463,0.5604,0.765,0.0,0.765,183,0,13,6480
23,0.6081,0.6093,0.6718,0.5573,0.7807,0.0,0.7807,187,0,13,6305
24,0.6087,0.6126,0.671,0.5635,0.8316,0.0,0.8316,190,0,14,6551
25,0.6166,0.622,0.6873,0.568,0.838,0.0,0.838,179,0,14,6394
26,0.6265,0.6277,0.7003,0.5688,0.8172,0.0,0.8172,186,0,12,5372
27,0.6309,0.6298,0.6722,0.5925,0.8,0.0,0.8,185,0,13,6184
28,0.6365,0.6297,0.6631,0.5994,0.8418,0.0,0.8418,177,0,13,6089
29,0.6382,0.6371,0.6906,0.5913,0.8128,0.0,0.8128,187,0,13,6087
30,0.6428,0.6398,0.6888,0.5973,0.8603,0.0,0.8603,179,0,14,6408
31,0.6478,0.6465,0.6949,0.6044,0.8011,0.0,0.8011,181,0,11,5257
32,0.6478,0.6448,0.6807,0.6124,0.8295,0.0,0.8295,176,0,13,6262
33,0.6493,0.6482,0.6913,0.6102,0.8258,0.0,0.8258,178,0,11,5517
34,0.6551,0.6547,0.6923,0.621,0.858,0.0,0.858,176,0,13,5865
35,0.6569,0.656,0.6898,0.6253,0.8492,0.0,0.8492,179,0,11,5332
36,0.6581,0.655,0.689,0.6243,0.875,0.0,0.875,176,0,15,7210
37,0.6621,0.6635,0.7095,0.6231,0.8674,0.0,0.8674,181,0,15,7139
38,0.6667,0.6628,0.6961,0.6326,0.8736,0.0,0.8736,174,0,14,6546
39,0.6632,0.6614,0.696,0.6301,0.8636,0.0,0.8636,176,0,15,6941
40,0.6713,0.6715,0.7196,0.6294,0.8563,0.0,0.8563,174,0,11,5055
41,0.6693,0.6684,0.716,0.6267,0.8621,0.0,0.8621,174,0,12,5650
42,0.6702,0.6677,0.7103,0.6299,0.8563,0.0,0.8563,174,0,15,6804
43,0.6751,0.6708,0.7143,0.6323,0.8644,0.0,0.8644,177,0,13,6179
44,0.677,0.6748,0.7302,0.6273,0.8556,0.0,0.8556,180,0,10,4640
45,0.6757,0.6698,0.7116,0.6327,0.9023,0.0,0.9023,174,0,16,7343
46,0.6813,0.6778,0.7274,0.6346,0.8492,0.0,0.8492,179,0,11,5147
47,0.6846,0.6808,0.7405,0.63,0.8743,0.0,0.8743,175,0,12,5804
48,0.6822,0.677,0.725,0.6349,0.8837,0.0,0.8837,172,0,14,6404
49,0.6877,0.6807,0.7434,0.6278,0.8644,0.0,0.8644,177,0,11,5467
50,0.685,0.6774,0.73,0.6319,0.8563,0.0,0.8563,174,0,12,5499





[build-system]
requires = ["hatchling"]
build-backend = "hatchling.build"

[project]
name = "fl-yolo-backdoor"
version = "3.6.0"
description = "Federated Learning AnywhereDoor (Strict Factorization & Active Masking)"
dependencies = [
    "flwr>=1.12.0",
    "ultralytics>=8.0.0",
    "torch>=2.0.0",
    "torchvision",
    "opencv-python",
    "pyyaml"
]

[tool.flwr.app]
publisher = "limulu"

[tool.flwr.app.components]
serverapp = "fl_yolo_backdoor.server_app:app"
clientapp = "fl_yolo_backdoor.client_app:app"

[tool.flwr.app.config]
# [Smoke Test 설정] 
num-server-rounds = 50
local-epochs = 2  
total-clients = 100
fraction-fit = 0.2

# ==========================================
# 🚪 True AnywhereDoor Configs
# ==========================================
reset-global-generator = true

attack-flag = true
attacker-ratio = 0.5
poison-rate = 0.5    
trigger-size = 32
num-classes = 3         

eval-attack-mode = "targeted_miscls" 

# [단일 타겟 고정 실험]
fixed-source-class = 0
fixed-target-class = 1

# 공격 강도 튜닝 파라미터 (Smoke Test 용 완화)
epsilon = 0.10          
generator-lr = 0.01    
trigger-inner-steps = 1

# ASR 평가 전용 파라미터
asr-conf-thresh = 0.1
asr-max-pairs = 6
asr-num-samples = 100
asr-seed = 2026
