Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
0,0.2576,0.0068,0.0034,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
1,0.995,0.9931,0.9863,1.0,0.0,0.0,0.0,0,0,0,0,0,0,30.494871,31.320874
2,0.995,0.9976,0.9951,1.0,0.0,0.0,0.0,0,0,0,0,0,0,22.921935,23.884367
3,0.995,0.9967,0.9934,1.0,1.0,0.0,1.0,18,0,2,124,83,2,23.106958,24.235428
4,0.995,0.999,0.998,1.0,1.0,0.0,1.0,18,0,2,117,80,2,21.658428,21.904867
5,0.995,0.9984,0.9968,1.0,1.0,0.0,1.0,18,0,1,60,40,1,21.978618,22.777177
